BAIRRO,TIPOESC,num_alunos
JARDIM DAS IMBUIAS,MOVA,1190
JARDIM SAO PAULOZONA LESTE,EMEI        ,1189
CIDADE TIRADENTES,CEU EMEI    ,1188
JARDIM RIZZO,CEI INDIR ,1188
VILA LAGEADO,CEI INDIR ,1188
COHAB INSTITUTO ADVENTISTA,EMEI        ,1187
JARDIM MIRIAM,MOVA        ,1187
JARDIM IRENE,CR.P.CONV ,1186
CAMPININHA,CEI DIRET ,1185
PARQUE CÍSPER,CEU CEI   ,1185
JARDIM DAMASCENO,MOVA      ,1182
JARDIM PEREIRA LEITE,EMEI      ,1182
VILA JACUÍ,CR.P.CONV ,1182
VILA OLÍMPIA,CR.P.CONV,1182
VILA BANCÃRIA,CR.P.CONV   ,1181
VILA CARBONE,CR.P.CONV,1180
PARQUE SANTA RITA,CR.P.CONV ,1179
VILA BELA VISTA,CR.P.CONV ,1179
JARDIM ARACATI,MOVA,1178
VILA CONSTANCIA,EMEBS,1178
VILA CONSTANCIA,EMEBS     ,1178
VILA CONSTANÇA,EMEBS,1178
CIDADE KEMEL,EMEI        ,1177
JARDIM CAMPINAS,CR.P.CONV   ,1177
CHÁCARA NOSSA SENHORA APARECIDA,CR.P.CONV,1176
CONJUNTO HABITACIONAL FAZENDA DO CARMO,CR.P.CONV ,1176
VILA MARIANA,MOVA,1176
VILA MONUMENTO,EMEI      ,1176
VILA UNIÃO (ZONA LESTE),CEI INDIR ,1176
CHÃCARA BELENZINHO,CR.P.CONV   ,1175
PARQUE COCAIA,EMEI        ,1175
JARDIM NOSSA SENHORA DO CARMO,EMEI        ,1173
VILA VITÓRIO MAZZEI,CEI DIRET ,1173
JARDIM SANTA TEREZINHA PEDREIRA,CEI INDIR,1172
JARDIM DAMASCENO,CR.P.CONV   ,1171
CONJ HAB BARRO BRANCO II,CEI INDIR,1170
JARDIM ANA LUCIA,CR.P.CONV ,1170
JARDIM ANA ROSA,CR.P.CONV,1170
JARDIM ANDARAÍ,CEI INDIR ,1170
PARQUE ALTO DO RIO BONITO,MOVA,1170
VILA CAMPESTRE,CEI DIRET ,1170
VILA NOVA CURUCA,MOVA,1170
VILA PENTEADO,CEI DIRET ,1170
RIVIERA PAULISTA,CR.P.CONV ,1167
VILA PALMEIRAS,EMEI        ,1167
CIDADE PATRIARCA,CR.P.CONV   ,1166
JARDIM MARISTELA,CR.P.CONV   ,1164
PARQUE NOVO SANTO AMARO,CR.P.CONV,1164
CHÃCARA MAFALDA,CR.P.CONV   ,1162
JARDIM FIGUEIRA GRANDE,MOVA,1162
JARDIM LUSO,CEI DIRET ,1161
PQ BOA ESPERANCA,EMEF      ,1161
VILA ANDRADE,CR.P.CONV   ,1161
JARDIM MYRNA,MOVA,1160
JARDIM PLANALTO,EMEI      ,1158
JAGUARE,CEU CEI   ,1155
JARDIM ELISIO,CR.P.CONV ,1155
JARDIM GUACURI,CR.P.CONV,1155
JARDIM JULIETA,CEI DIRET ,1155
JARDIM PARQUE MORUMBI,CR.P.CONV ,1155
JARDIM REIMBERG,CEI DIRET ,1155
PARQUE GUARANI,CEI INDIR ,1155
VALO VELHO,CR.P.CONV ,1155
VILA PARQUE JABAQUARA,CEI INDIR ,1155
VILA RÉ,CEI DIRET ,1155
CHÁCARA COCAIA,CEI INDIR,1152
JARDIM BRASIL (ZONA NORTE),CEI DIRET ,1152
JARDIM IRACEMA,MOVA      ,1152
JARDIM NAIR,CEI INDIR ,1152
JARDIM VISTA ALEGRE,CEI DIRET ,1152
VILA PRUDENTE,CR.P.CONV ,1152
BELENZINHO,ESC.PART.,1150
JARDIM LAPENA,CEI INDIR   ,1150
JARDIM SANTO ELIAS (SÃO MIGUEL),CR.P.CONV,1150
JARDIM SANTO ELIAS SAO MIGUEL,CR.P.CONV,1150
CIDADE SATÉLITE SANTA BÁRBARA,CEI DIRET ,1149
JARDIM ARIZE,CEI INDIR ,1149
JARDIM ESTER,CR.P.CONV   ,1147
CONJUNTO HABITACIONAL PADRE MANOEL DA NÓ,CEI DIRET ,1146
CONJUNTO PROMORAR VILA MARIA III,CEI INDIR ,1146
JARDIM LOURDES,CEI INDIR ,1146
PARQUE COCAIA,CEI DIRET ,1146
JARDIM RUSSO,CR.P.CONV,1145
SICILIANO,CR.P.CONV,1145
CONJUNTO HABITACIONAL INSTITUTO ADVENTIS,CR.P.CONV ,1144
VILA FORMOSA,EMEI        ,1144
VILA PERUS,CEI DIRET ,1143
PARQUE CÍSPER,CEI INDIR ,1142
VILA IOLANDA,CR.P.CONV,1142
JARDIM FERNANDES,MOVA,1141
VILA INVERNADA,EMEF        ,1141
JARDIM ELEDY,CEU CEI   ,1140
PARQUE BELÉM,CR.P.CONV,1140
RECANTO SANTO ANTÔNIO,MOVA,1140
JARDIM CASA GRANDE,CEI INDIR ,1137
JARDIM DO CAMPO,CR.P.CONV ,1137
JARDIM MODELO,CEI INDIR ,1137
JARDIM SAO RAFAEL,CEI INDIR ,1137
PINHEIROS,EMEI      ,1137
PARQUE GUARANI,CR.P.CONV ,1136
VILA CARMOSNA,CR.P.CONV,1136
VILA NILO,CR.P.CONV   ,1135
CIDADE NOVA SAO MIGUEL,CEI INDIR ,1134
JARDIM HELIAN,MOVA,1134
JARDIM NAZARE,EMEI      ,1134
PARQUE EDU CHAVES,CEI DIRET ,1134
JARDIM IPANEMA (ZONA OESTE),CR.P.CONV ,1133
PARQUE SANTO ANTÔNIO,CEI INDIR ,1132
JARDIM MONTE AZUL,CEI INDIR ,1131
PARQUE CRUZEIRO DO SUL,EMEI        ,1129
ALTO DA LAPA,CEI INDIR ,1128
ENGENHEIRO MARSILAC,CR.P.CONV ,1125
JARDIM ALMEIDA PRADO,CR.P.CONV ,1125
JARDIM SANTA LUCRECIA,CR.P.CONV ,1125
JARDIM SHANGRILA ZONA NORTE,CR.P.CONV,1125
JARDIM SHANGRILÁ (ZONA NORTE),CR.P.CONV,1125
VILA CARDOSO FRANCO,CEI DIRET ,1125
JARDIM ARPOADOR,CEI INDIR ,1122
PARQUE INDEPENDÊNCIA,MOVA,1121
CAMBUCI,CEI DIRET ,1119
IMIRIM,CEI DIRET ,1119
LAUZANE PAULISTA,EMEI        ,1119
SACOMÃ,CR.P.CONV ,1116
JAGUARÃ‰,CR.P.CONV   ,1115
VILA GUILHERME,CR.P.CONV   ,1114
CAMBUCI,CEI INDIR ,1113
CIDADE LUZ,MOVA,1113
JARDIM BOA VISTA (ZONA OESTE),CEI DIRET ,1113
JARDIM PIRITUBA,CR.P.CONV   ,1113
JARDIM RUSSO,MOVA,1113
JD SAO SAVERIO,CEI INDIR ,1113
MANDAQUI,CR.P.CONV ,1113
VILA PEDRA BRANCA,CEI DIRET ,1113
JAÇANÃ,CR.P.CONV,1112
SÃO JOÃO CLÍMACO,EMEI      ,1112
CONJUNTO HABITACIONAL RECANTO DOS HUMILD,EMEI        ,1111
JARDIM SORAIA,CR.P.CONV ,1111
AMERICANOPOLIS,CCA,1110
JARDIM ORIENTAL,CEI DIRET ,1110
VILA BASILEIA,CEI DIRET ,1110
VILA GUACURI,CR.P.CONV,1110
JARDIM MYRNA,CEI DIRET ,1107
PARQUE SANTA AMÉLIA,CR.P.CONV,1105
VILA SANTA TERESA(ZONA SUL),CEI DIRET,1105
VILA SANTA TERESAZONA SUL,CEI DIRET,1105
JD ROBRU,CEI DIRET ,1104
PARQUE TIETE,CEI INDIR ,1104
VILA CARMOSINA,CEI INDIR ,1104
VILA RUBI,CEU CEI   ,1104
JARDIM BOM REFÚGIO,CR.P.CONV ,1101
JARDIM GUARANI,MOVA      ,1101
VILA GUARANI,CEI INDIR ,1101
VILA REGENTE FEIJÓ,CR.P.CONV ,1101
JARDIM MACEDÔNIA,MOVA,1099
JARDIM ROSINHA,CR.P.CONV ,1099
CHÁCARA SANTA MARIA,CEU CEI   ,1098
JARDIM RINCAO,CEI INDIR ,1098
SANTO AMARO,CEI INDIR ,1098
VILA PRINCESA ISABEL,CR.P.CONV   ,1097
AMERICANÓPOLIS,CEI DIRET ,1095
JARDIM FLORESTA,CR.P.CONV ,1095
JARDIM OLYMPIA,CEI INDIR ,1095
JARDIM VIVAN,CEI DIRET ,1095
VILA FORMOSA,CR.P.CONV   ,1095
PARQUE SÃO RAFAEL,CR.P.CONV ,1093
CHACARA SAO JOAO,CEI INDIR ,1092
GUAIANAZES,CEI INDIR ,1092
JARDIM EDI,CEI DIRET ,1092
LUZ,CEI INDIR ,1092
VILA INDEPENDÊNCIA,CEI INDIR ,1092
JARDIM RODOLFO PIRANI,EMEI        ,1091
PARQUE SAO DOMINGOS,CEI INDIR ,1089
SÍTIO DO MORRO,CR.P.CONV ,1089
VILA MIRANTE,CR.P.CONV ,1089
CASA VERDE,CR.P.CONV ,1086
JARDIM GONZAGA,CEI DIRET ,1086
PERDIZES,EMEI      ,1086
JARDIM ELIZA,CR.P.CONV,1085
VILA BARRETO,CR.P.CONV,1085
JARDIM BARTIRA,CR.P.CONV ,1083
JARDIM BRITANIA,CEI DIRET ,1083
JARDIM MARILIA,CEI DIRET ,1083
PARQUE BOLOGNE,CEU CEI   ,1083
VILA HORTÊNCIA,CR.P.CONV ,1080
PARQUE BOLOGNE,CR.P.CONV   ,1079
JARDIM ELIANE,CEI INDIR ,1077
JARDIM SANTO ANTONIO,CEI INDIR ,1077
JARDIM SAO MARTINHO,CEI INDIR ,1077
PARQUE CASA DE PEDRA,CEI DIRET ,1077
VILA HERMÍNIA,CR.P.CONV ,1077
VILA PARANAGUÁ,ESP CONV,1076
JARDIM IMPERADOR,CEI INDIR ,1074
JARDIM ITAPURA,CEI INDIR ,1074
JARDIM PRIMAVERA,CEI DIRET ,1074
VILA ANTONIETA,MOVA      ,1074
PARQUE NAÇÕES UNIDAS,EMEI,1072
PARQUE NAÇÕES UNIDAS,EMEI      ,1072
VILA MISSIONÁRIA,MOVA      ,1072
CAMBUCI,EMEI        ,1071
JARDIM DA PEDREIRA,CEI INDIR ,1071
JARDIM MIRIAM,CEI INDIR ,1071
VELEIROS,MOVA,1071
VILA DOS MINÉRIOS,CR.P.CONV,1071
CIDADE IPAVA,CEMEI     ,1070
CIDADE IPAVA,CEMEI       ,1070
JARDIM ANGELA ZONA SUL,MOVA,1070
VILA SIQUEIRA ZONA NORTE,CR.P.CONV,1070
CANGAÍBA,CR.P.CONV ,1069
FAZENDA DA JUTA,EMEI        ,1069
CONJ HABIT VILA NOVA CACHOEIRINHA,CEI DIRET ,1068
ESTÂNCIA MIRIM,CR.P.CONV,1068
LAJEADO,CEU CEI   ,1068
PARQUE TAIPAS,CEI DIRET ,1068
VILA GUIOMAR,MOVA      ,1068
VILA NOVA GALVAO,CEI INDIR ,1068
VILA PROGRESSO,CR.P.CONV ,1068
JARDIM NOVO SANTO AMARO,CR.P.CONV   ,1067
CANTINHO DO CÉU,CR.P.CONV ,1065
CIDADE IPAVA,CR.P.CONV   ,1065
JARDIM KAGOHARA,CEI DIRET ,1065
PARI,CEI INDIR ,1065
VILA SANTA INES,CEI DIRET ,1065
JARDIM LEÃ”NIDAS MOREIRA,CR.P.CONV   ,1064
JARDIM GUARUJÃ,CR.P.CONV   ,1062
PARADA XV DENOVEMBRO,CEI DIRET,1062
PARADA XV DENOVEMBRO,CEI DIRET ,1062
PARQUE FERNANDA,CEI DIRET ,1062
VILA MOREIRA,CEU CEI   ,1062
JARDIM BOA VISTA ZONA OESTE,CR.P.CONV,1060
PARQUE GUAIANAZES,CR.P.CONV   ,1060
JARDIM CAMARGO,CEI INDIR ,1059
JARDIM ELZA,CEI DIRET ,1059
JARDIM MODELO,CEU CEI   ,1059
JARDIM SANTA FE,CEI INDIR ,1059
VILA FORMOSA,CEI INDIR ,1059
VILA GUARANI(ZONA SUL),CEI INDIR ,1059
VILA NOVA CURUCA,CEI DIRET ,1059
VILA SANTA TERESINHA,CEI DIRET ,1059
JARDIM PAPAI NOEL,EMEF        ,1058
SÃƒO JOÃƒO CLÃMACO,CEI INDIR   ,1058
VILA SANTA TERESA (ZONA LESTE),CR.P.CONV,1058
CANGAÍBA,MOVA,1057
JARDIM SÃO FRANCISCO DE ASSIS,MOVA,1057
VILA NASCENTE,MOVA,1057
JARDIM ADELFIORI,EMEI      ,1056
PIRAJUSSARA,CEI INDIR ,1056
SANTA CECÍLIA,CEI INDIR ,1056
VILA CUNHA BUENO,EMEI        ,1055
VILA PROGRESSO ZONA NORTE,CR.P.CONV,1055
JARDIM IMPERADOR (ZONA LESTE),EMEI,1054
JARDIM IMPERADOR (ZONA LESTE),EMEI      ,1054
BROOKLIN NOVO,CR.P.CONV ,1053
CHÁCARA SANTA ETELVINA,CEI INDIR ,1053
JARDIM ARPOADOR,CEI DIRET ,1053
JARDIM LISBOA,CEI DIRET ,1053
SÃO MIGUEL PAULISTA,MOVA,1053
VILA MARIA BAIXA,CEI DIRET ,1053
LAGEADO,MOVA,1052
CANINDE,CEI INDIR ,1050
PARQUE DAS PAINEIRAS,CEI DIRET ,1050
RECANTO MARISA,CEI INDIR ,1050
VILA NOVA UNIÃO,CEI INDIR ,1050
VILA ZAT,CEI INDIR ,1050
NOSSA SENHORA DO Ó,CR.P.CONV,1049
PARQUE NOVO SANTO AMARO,MOVA      ,1048
VILA ANGLO BRASILEIRA,MOVA,1048
CIDADE SAO MATEUS,CR.P.CONV ,1047
JARDIM DAMASCENO,CEI INDIR ,1047
JARDIM PEDRA BRANCA,CEI INDIR ,1047
MORADA DO SOL,CEI INDIR ,1047
VILA BELA VISTA,CEI INDIR ,1047
VILA HELIÓPOLIS,MOVA      ,1047
JARDIM MARILDA,CR.P.CONV ,1044
JARDIM NORMA,MOVA,1044
JARDIM REPUBLICA,CR.P.CONV ,1044
JARDIM SANTA MARIA,CEI DIRET ,1044
VILA CONSTANÇA,CEI DIRET ,1044
VILA EMA,CR.P.CONV ,1044
VILA NINA,CEI INDIR ,1044
VILA PROGREDIOR,CEI INDIR,1044
VILA PROGREDIOR,CR.P.CONV,1044
JARDIM ELIANE,CR.P.CONV   ,1043
JORDANÓPOLIS,MOVA,1043
VILA SANTA MARIA,CR.P.CONV   ,1043
CHÁCARA SÃO SILVESTRE,CEI INDIR ,1041
FAZENDA DA JUTA,CEI INDIR ,1041
JARDIM MARILU,CEI INDIR ,1041
VILA JOÃO BATISTA,CR.P.CONV ,1041
VILA MIRIAM,CEI INDIR ,1041
JARDIM ESMERALDA,MOVA,1040
JARDIM FANGANIELLO,MOVA      ,1039
JARDIM BOTUCATU,CR.P.CONV ,1038
PARQUE TOMAS SARAIVA,CEI DIRET ,1038
SE,CR.P.CONV ,1038
JARDIM SARAH,EMEI      ,1036
BOM RETIRO,EMEI        ,1035
JAGUARE,CEI INDIR ,1035
JARDIM PARQUE MORUMBI,CR.P.CONV   ,1035
BOM RETIRO,CEI DIRET ,1032
GUAPIRA,CEI DIRET ,1032
JARDIM MARIA ESTELA,CEI INDIR ,1032
JARDIM MONJOLO,CEI DIRET ,1032
JARDIM PIRITUBA,CEI INDIR ,1032
PARQUE MARIA DOMITILA,CEI INDIR ,1032
BELA VISTA,MOVA        ,1031
JARDIM PLANALTO,CR.P.CONV,1030
BARRO BRANCO,CEI DIRET ,1029
JARDIM DOS MANACAS,MOVA,1029
JARDIM LIBANO,EMEBS     ,1029
JARDIM NOVE DE JULHO,CEI DIRET ,1029
VILA DIONISIA,CEI DIRET ,1029
VILA MARIA ALTA,CR.P.CONV,1029
VILA MARIA ALTA,CR.P.CONV ,1029
JARDIM CAPELA,CEI DIRET ,1026
VILA CHUCA,CEI DIRET ,1026
VILA DOS REMEDIOS,CR.P.CONV ,1026
CIDADE NOVA HELIÃ“POLIS,CEI INDIR   ,1025
JORDANÓPOLIS,CR.P.CONV,1025
VILA IOLANDA(LAJEADO),CR.P.CONV,1025
JARDIM DAS VERTENTES,CEI DIRET ,1023
JARDIM MARIANE,CEI DIRET ,1023
JARDIM MIRIAM,CEI DIRET ,1023
JARDIM NOVO PARELHEIROS,CEI DIRET ,1023
JARDIM SANTO ELIAS,EMEI      ,1023
VILA CENTENÁRIO,CEI DIRET ,1023
VILA SEABRA,CEI INDIR ,1023
COHAB SANTA ETELVINA II,EMEI        ,1022
CONJUNTO PROMORAR SÃƒO LUIS,CEI DIRET   ,1021
JARDIM MARINGÁ,CEI INDIR ,1020
JARDIM MIRAGAIA,EMEI      ,1020
JARDIM SAO JOSE SAO MATEUS,CR.P.CONV,1020
JARDIM SAPOPEMBA,CR.P.CONV,1020
JARDIM SOMARA,CEI DIRET ,1020
VILA ISOLINA MAZZEI,CEI INDIR ,1020
CAXINGUI,CR.P.CONV ,1017
CONJUNTO HABITACIONAL SANTA ETELVINA III,CEI DIRET ,1017
PARAISOPOLIS,CR.P.CONV ,1017
PINHEIROS,CR.P.CONV ,1017
VILA CLARICE,CEI DIRET ,1017
CONSOLACAO,EMEI        ,1016
JARDIM PEDRA BRANCA,EMEI      ,1016
CONJ HAB SITIO CONCEIÇÃO,CEI DIRET ,1014
JARDIM SOARES,CEI INDIR ,1014
JARDIM SÃƒO PEDRO,CR.P.CONV   ,1014
PARQUE GRAJAU,CEI DIRET ,1014
CIDADE TIRADENTES,CEI INDIR   ,1012
VILA DORNA,CR.P.CONV   ,1012
JARDIM VERA CRUZ(ZONA LESTE),CEI DIRET ,1011
VILA AMÉLIA,CR.P.CONV,1011
VILA MARIETA,CEI DIRET ,1011
JABAQUARA,CEU CEI   ,1010
JARDIM MITSUTANI,CEI INDIR ,1008
SÍTIO CARAGUATA,CEI DIRET ,1008
VILA ISABEL,MOVA,1008
CIDADE DUTRA,CEU CEI   ,1006
CUPECÊ,CEI DIRET ,1005
JD SILVEIRA,CEI DIRET ,1005
PARQUE DA VILA PRUDENTE,CEI INDIR ,1005
PARQUE RESIDENCIAL COCAIA,CEI INDIR ,1005
CAPÃO REDONDO,CEMEI     ,1004
CAPÃƒO REDONDO,CEMEI       ,1004
JARDIM VERA CRUZZONA SUL,CEMEI       ,1003
JARDIM PEDRO JOSE NUNES,CEI INDIR ,1002
PARQUE CÍSPER,CEI DIRET ,1002
PARQUE SANTA RITA,CEI DIRET ,1002
PARQUE SAVOY CITY,EMEI        ,1002
VILA SANTA CATARINA,CEI DIRET ,1002
JARDIM ALTO PAULISTANO,CR.P.CONV,999
JARDIM DA CONQUISTA,CEI INDIR ,999
JARDIM ELISA MARIA,CR.P.CONV ,999
JARDIM MARIA VIRGINIA,CEI INDIR ,999
JARDIM NAZARETH,CEI DIRET ,999
PARQUE INDEPENDENCIA,MOVA      ,999
VILA DO ENCONTRO,CEI DIRET ,999
BURGO PAULISTA,CEI DIRET ,996
JARDIM HEBRON,CR.P.CONV,996
JARDIM SAO PEDRO,EMEI        ,996
VILA PAULISTANA,CEI DIRET ,996
JARDIM NÉLIA,CR.P.CONV,995
VILA PARQUE JABAQUARA,ESC.PART.,994
CONJUNTO PROMORAR ESTRADA DA PARADA,CEI INDIR ,993
JARDIM IPANEMA (ZONA SUL),CEI DIRET ,993
PARQUE DOROTEIA,CEI INDIR ,993
VILA FAZZEONI,CEI DIRET ,993
COLONIA ZONA LESTE,CR.P.CONV   ,991
JARDIM DA PEDREIRA,MOVA,990
JARDIM PERI,CEI INDIR ,990
PIQUERI,CEI INDIR ,990
VILA AGUA FUNDA,CEI DIRET ,990
VILA MORSE,CR.P.CONV,990
CATUMBI,CR.P.CONV   ,989
CIDADE PATRIARCA,CR.P.CONV ,989
CONJUNTO HABITACIONAL TEOTONIO VILELA,MOVA      ,989
PARQUE AMAZONAS,CEI INDIR,988
CIDADE MONÇÕES,CEI INDIR ,987
JARDIM RODOLFO PIRANI,CEI DIRET ,987
VILA MIRANTE,CEI DIRET ,987
VILA POMPÉIA,CR.P.CONV ,987
JARDIM SÃO JORGE (RAPOSO TAVARES),CR.P.CONV,986
ACLIMACAO,CCI/CIPS,984
CHÁCARA NANI,CEI INDIR ,984
CIPÓ DO MEIO,CECI,984
JARDIM ALMEIDA,CR.P.CONV ,984
JARDIM BANDEIRANTE (SÃO RAFAEL),CEI INDIR,984
JARDIM NOVE DE JULHO,CEI INDIR ,984
JARDIM ORIENTAL,CR.P.CONV,984
JARDIM SANTA TERESINHA,CEU EMEI  ,984
JARDIM SAO BENEDITO,CEI DIRET ,984
JARDIM VERGUEIRO,CEI INDIR ,984
MIRANDOPOLIS,CR.P.CONV ,984
CONJUNTO HABITACIONAL TEOTONIO VILELA,CEI DIRET ,981
CONJUNTO PROMORAR ESTRADA DA PARADA,MOVA      ,981
JARDIM DAS LARANJEIRAS,CEI INDIR ,981
JARDIM GUAIRACA,CEI DIRET ,981
VILA VERDE,CEI INDIR ,981
SAO JOAO CLIMACO,CR.P.CONV,980
ALTOS DE VILA PRUDENTE,CEI DIRET ,978
HIGIENOPOLIS,MOVA      ,978
JARDIM ADUTORA,CEI DIRET ,978
JARDIM PARQUE MORUMBI,CEU CEI   ,978
VILA BAUAB,CEI DIRET ,978
VILA CAMPANELA,CR.P.CONV ,978
VILA ESTER,CEI DIRET ,978
VILA FANTON,CR.P.CONV   ,976
JARDIM CIDADE PIRITUBA,CEI DIRET ,975
JARDIM DAS PEDRAS(ZONA SUL),CR.P.CONV,975
JARDIM NOVO HORIZONTE,CEI INDIR ,975
JARDIM SHANGRILÁ (ZONA NORTE),CEI DIRET ,975
JD WILMA FLOR,CR.P.CONV,975
PARQUE FONGARO,CEI DIRET ,975
VILA CARRAO,CR.P.CONV ,975
VILA CURUCA,CR.P.CONV   ,975
VILA GOMES CARDIM,CEI DIRET ,975
VILA SEABRA,CEI DIRET ,975
CONJUNTO RESIDENCIAL MORADA DO SOL,MOVA,973
JARDIM DA PEDREIRA,CR.P.CONV,973
JARDIM ANGELINA,CEI DIRET ,972
JARDIM PEDRO JOSÉ NUNES,CEI INDIR ,972
JARDIM SÃO JORGE,CEI DIRET ,972
PARQUE INDEPENDÊNCIA,CEI INDIR,972
JARDIM CELESTE,CEMEI     ,970
JARDIM CELESTE,CEMEI       ,970
JARDIM DA CONQUISTA (ZONA LESTE),CR.P.CONV,970
CONJUNTO HABITACIONAL PADRE JOSÉ DE ANCH,CEI INDIR ,969
CONJUNTO HABITACIONAL TURÍSTICA,CEI INDIR ,969
JARDIM DAS OLIVEIRAS,CEI DIRET ,969
JARDIM DAS OLIVEIRAS,CEI INDIR ,969
PARQUE CÃSPER,CR.P.CONV   ,969
PIRAJUSSARA,MOVA      ,969
VILA CALIFORNIA,CEI INDIR ,969
VILA LIBANESA,CR.P.CONV ,969
VILA SÃO VICENTE,CR.P.CONV ,969
MOOCA,EMEBS       ,968
MOOCA,EMEE,968
VILA SÃO JOSÉ (CIDADE DUTRA),CR.P.CONV,968
CHACARA TATUAPE,EMEI      ,966
CONJUNTO HABITACIONAL TURÍSTICA,MOVA,966
JARDIM CAMPOS,CEI DIRET ,966
JARDIM PRUDENCIA,CR.P.CONV ,966
JARDIM SAO CARLOS,CEI INDIR ,966
PARQUE SONIA,CEI DIRET ,966
JARDIM ROSA MARIA,CR.P.CONV,965
JARDIM SÃO FRANCISCO,CR.P.CONV,965
PARQUE FERNANDA,EMEI        ,965
CHACARA CRUZEIRO DO SUL,CEI DIRET ,963
JARDIM ADELFIORE,CEI DIRET ,963
JARDIM COLONIAL,CEI DIRET ,963
JARDIM COMERCIAL,CEI INDIR ,963
JARDIM TUPI,CEI DIRET ,963
CIDADE JÚLIA,CR.P.CONV ,960
CIDADE MONCOES,EMEI      ,960
ITAIM PAULISTA,CEI DIRET   ,960
JARDIM FIGUEIRA GRANDE,CEI DIRET ,960
JARDIM SAO PAULO,CEI DIRET ,960
VILA INDEPENDÊNCIA,CR.P.CONV,960
VILA MIRANTE,CR.P.CONV   ,960
JARDIM DONÁRIA,MOVA,959
PARQUE DA VILA PRUDENTE,CR.P.CONV   ,959
CONJUNTO CITY JARAGUÁ,CEI DIRET ,957
JARDIM PEDRO JOSE NUNES,CEI DIRET ,957
JARDIM SAO PEDRO,CEI DIRET ,957
JARDIM SÃO JOÃO (GUAIANAZES),CR.P.CONV,957
JARDIM SÃO JOÃO (GUAIANAZES),CR.P.CONV ,957
SAO MIGUEL PAULISTA,CEI DIRET ,957
VILA SANTO ESTÉFANO,CEI INDIR ,957
PARQUE BOA ESPERANÇA,CEU CEI,956
PARQUE BOA ESPERANÇA,CEU CEI   ,956
VILA FRANCOS,CEMEI,956
CONJ HABIT BRIGADEIRO FARIA LIMA,CEI DIRET ,954
JARDIM ALMEIDA PRADO,CEI INDIR ,954
JARDIM LUCÉLIA,CR.P.CONV ,954
JARDIM MATARAZZO,CEI DIRET ,954
JARDIM SANTA MARGARIDA,CEI DIRET ,954
ITABERABA,CR.P.CONV   ,953
SAÚDE,CR.P.CONV ,952
CIDADE ADEMAR,CR.P.CONV ,951
JARDIM JULIETA,CEI INDIR ,951
JARDIM MARIA RITA,CEI DIRET ,951
PLANALTO PAULISTA,CR.P.CONV   ,951
SÃO MIGUEL PAULISTA,CR.P.CONV ,951
UMARIZAL,CEI DIRET ,951
VILA PARANAGUÁ,CEI DIRET ,951
JARDIM BRASILIA ZONA LESTE,CR.P.CONV   ,950
JARDIM LEONOR MENDES DE BARROS,CR.P.CONV ,948
JARDIM QUISISANA (VILA NOVA CURUÇÁ),MOVA,948
JARDIM QUISISANA (VILA NOVA CURUÇÁ),MOVA      ,948
JARDIM SÃO JOÃO (ZONA NORTE),CEI DIRET,948
RESIDENCIAL SOL NASCENTE,CEI INDIR ,948
SUMAREZINHO,CEI INDIR ,948
VILA ANASTACIO,CR.P.CONV ,948
VILA MORAES,MOVA      ,948
CIDADE DOMITILA,CEI INDIR ,945
GLEBA DO PÊSSEGO,CEI INDIR ,945
JARDIM NAKAMURA,CEI INDIR ,945
PARQUE COLONIAL,CEI DIRET ,945
PARQUE DO LAGO,MOVA,945
VILA BONILHA,EMEI      ,945
VILA SILVIA,CR.P.CONV ,945
JARDIM MORENO,CEU CEI,944
VILA NATAL,CR.P.CONV ,944
CIDADE A E CARVALHO,CEI DIRET ,942
CONJUNTO HABITACIONAL PADRE MANOEL DE PA,CEI DIRET ,942
PARQUE SAVOI CITY,CEI INDIR ,942
PARQUE SÃO RAFAEL,CEI DIRET ,942
CIDADE SAO MATEUS,CEI INDIR   ,941
JARDIM LAJEADO,CR.P.CONV   ,940
PARQUE NOVO MUNDO,EMEI        ,940
VILA BARBOSA,CR.P.CONV   ,940
JARDIM CAROMBE,CEI DIRET ,939
JARDIM VERÔNIA,CEI DIRET ,939
PQ BRISTOL,CEI DIRET ,939
VILA GUILHERME,EMEI        ,939
CHÁCARA SANTA MARIA,MOVA,938
AMERICANOPOLIS,MOVA      ,936
JARDIM CAMPINAS,CEI DIRET ,936
JARDIM TRES CORACOES,CR.P.CONV ,936
LUZ,MOVA      ,936
PARQUE BOA ESPERANCA,CEI INDIR ,936
VILA GOMES CARDIM,EMEI      ,936
JARDIM TUPI,CEI INDIR,935
VILA GRANADA,CR.P.CONV,935
JARDIM ESTER,CEI DIRET ,933
JARDIM MELIUNAS,CEI DIRET ,933
JARDIM PAULISTANO,CR.P.CONV ,933
JARDIM SAO JOSE,CEI DIRET ,933
CIDADE SAO MATEUS,MOVA      ,930
CONJ RESID ELISIO TEIXEIRA LEITE,CEI DIRET ,930
JARDIM BARTIRA,CEI DIRET ,930
JARDIM CAPELA,CR.P.CONV ,930
JARDIM SILVA TELES,CEI DIRET ,930
JARDIM TIETÊ,CR.P.CONV ,930
LAPA DE BAIXO,EMEI      ,930
MARANHÃO,EMEI      ,930
VILA CLEMENTINO,CEI INDIR ,930
VILA JUREMA,CEI DIRET ,930
BELA VISTA,CCI/CIPS  ,928
JARDIM FRATERNIDADE,MOVA,928
JARDIM HELGA,MOVA,928
JARDIM LIDER,MOVA,928
